"location","source","target"
"CONTEXT"," ""ID""",""
"AccessPermitInner","ARSTOTZKA",""
"AccessPermitInner","Access Permit",""
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka",""
"AccessPermitInner","NAME",""
"AccessPermitInner","NATIONALITY",""
"AccessPermitInner","PURPOSE",""
"AccessPermitInner","HEIGHT",""
"AccessPermitInner","PHYSICAL APPEARANCE",""
"AccessPermitInner","ID NUMBER",""
"AccessPermitInner","DURATION",""
"AccessPermitInner","WEIGHT",""
"AccessPermitInner","ENTER BY",""
"AccessPermitInner","Keep on person",""
"AccessPermitInner","Ministry of Admission",""
"AsylumGrantInner","Arstotzka",""
"AsylumGrantInner","GRANT of ASYLUM",""
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders",""
"AsylumGrantInner","NAT",""
"AsylumGrantInner","ID#",""
"AsylumGrantInner","DOB",""
"AsylumGrantInner","HT",""
"AsylumGrantInner","WT",""
"AsylumGrantInner","Offer expires after",""
"AsylumGrantInner","Ministry of Admission",""
"BizCardInnerFront","ENGINEERING",""
"BizCardInnerFront","Director",""
"BizCardInnerBack","WE NEED ENGINEERS",""
"BizCardInnerBack","WILL BEAT .GOV PAY",""
"BizCardInnerBack","CONTACT NOW",""
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.",""
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.",""
"BrothelHelpInner","Please do something.",""
"BulletinInnerDiploTut","Diplomat",""
"BulletinInnerDiploTut","Verification Procedure",""
"BulletinInnerDiploTut","Verify issuing country",""
"BulletinInnerDiploTut","Verify identity",""
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka",""
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.",""
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.",""
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.",""
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.",""
"BulletinInnerPassportTut","Pay attention to passport nationality.",""
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission",""
"BulletinInnerBoothTut","Inspector's Booth",""
"BulletinInnerBoothTut","Shutter",""
"BulletinInnerBoothTut","Counter",""
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date",""
"BulletinInnerGunTut","Weapons Protocol",""
"BulletinInnerGunTut","WHEN ALARM SOUNDS",""
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.",""
"BulletinInnerGunTut","Select gun, aim and fire.",""
"BulletinInnerGunTut","Time is short. Act fast.",""
"BulletinInnerFilerTut","Passport Confiscation",""
"BulletinInnerFilerTut","Verify ALTAN resident on id.",""
"BulletinInnerFilerTut","Drop passport in confiscation drawer.",""
"BulletinInnerFilerTut","If arresting, confiscate before detaining.",""
"BulletinInnerCriminals","Ministry of Justice",""
"BulletinInnerCriminals","WANTED CRIMINALS",""
"BulletinInnerNews","NEWS",""
"BulletinPagesNote","CHECK ALL<br>PAGES",""
"CitationInner","M.O.A. CITATION",""
"DiplomaticAuthInner","Diplomatic<br>Authorization",""
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.",""
"DiplomaticAuthInner","AGENT",""
"DiplomaticAuthInner","PASSPORT",""
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.",""
"DiplomaticAuthInner","This document has no expiry.",""
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM",""
"EntryPermitInner","ARSTOTZKA",""
"EntryPermitInner","Entry Permit",""
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to",""
"EntryPermitInner","bearing passport number",""
"EntryPermitInner","Purpose",""
"EntryPermitInner","Duration",""
"EntryPermitInner","Enter by",""
"EntryPermitInner","Ministry of Admission",""
"EntryTicketInner","Arstotzka",""
"EntryTicketInner","ENTRY TICKET",""
"EntryTicketInner","VALID ON",""
"EzicNoteInnerOpen","READ QUICKLY",""
"EzicNoteInnerOpen","RETURN TO MESSENGER",""
"FamilyPhotoInner","HANG ON WALL",""
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT",""
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?",""
"ForgeryFlyerInnerFront","""It looks so real!""",""
"ForgeryFlyerInnerFront","""Approved for entry!""",""
"ForgeryFlyerInnerFront","Fair rates!",""
"ForgeryFlyerInnerFront","No questions asked!",""
"ForgeryFlyerInnerFront","Fast turnaround!",""
"ForgeryFlyerInnerFront","CONDITIONS ON BACK",""
"ForgeryFlyerInnerBack","PRICING (EACH)",""
"ForgeryFlyerInnerBack","Passport *",""
"ForgeryFlyerInnerBack","Entry Ticket",""
"ForgeryFlyerInnerBack","*<br>",""
